Ativo,HoraEntrada,Resultado,Ganho,Perda
AUDCAD-OTC,2025-10-23 06:28:51,LOSS,,610.8
AUDCAD-OTC,2025-10-23 06:30:10,LOSS_P1,,1313.22
AUDCAD-OTC,2025-10-23 06:31:29,WIN_P2,2484.6100000000006,
EURUSD,2025-10-23 08:02:16,ERROR,,
EURUSD,2025-10-23 08:12:07,ERROR,,
EURUSD,2025-10-23 08:23:32,ERROR,,
EURUSD,2025-10-23 08:25:39,ERROR,,
EURUSD,2025-10-23 13:45:12,ERROR,,
EURUSD,2025-10-23 13:46:16,ERROR,,
EURJPY,2025-10-23 13:47:20,ERROR,,
AUDCAD,2025-10-23 13:48:24,ERROR,,
EURUSD,2025-10-23 13:50:28,ERROR,,
GBPAUD-OTC,2025-10-23 14:04:38,ERROR,,
